,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
8,GAV.F,,dr_market,118.0,118.0 - 118.0,7.6045628,2252749824,0.005041322,3.097222,-0.099236645,7,28.8 - 131.0,
9,RAIFY,,us_market,5.075,5.075 - 5.075,,6786594304,,0.06394126,-0.06018524,472,4.77 - 5.4,
10,KTD.F,,dr_market,2.62,2.62 - 2.62,,2740519936,,0.14912277,-0.44017094,12,2.28 - 4.68,
11,0QMS.L,,gb_market,550.5,550.5 - 555.0,27.118227,2298502656,0.018733274,0.0,-0.008108108,,550.5 - 555.0,
12,0YG7.L,,gb_market,154.6,154.6 - 156.0,23.491873,9382055936,0.016149871,0.0,-0.00897432,,154.6 - 156.0,
13,0HWG.L,,gb_market,26.142,26.142 - 26.142,19.804544,4397999616,0.037991032,0.0,0.0,,26.142 - 26.142,
14,CQ2.F,,dr_market,32.0,31.4 - 32.0,2.0367894,2954819072,,0.58415836,-0.16230369,10,20.2 - 38.2,
15,6NC.F,,dr_market,68.5,64.5 - 68.5,,6210319360,,0.28037384,-0.16969697,533,53.5 - 82.5,
16,KLPEF,Klepierre,us_market,21.9,21.01 - 21.9,4.450315,5940462592,0.10377273,0.825,-0.315625,1090,12.0 - 32.0,
17,SWC.L,,gb_market,255.0,244.2 - 255.0,,20485196,,2.0,-0.25,23208,85.0 - 340.0,
18,0JXD.L,,gb_market,14.84,14.73 - 14.875,,4656747520,0.053338043,0.0074677947,-0.0023529308,,14.73 - 14.875,
19,DFRYF,Dufry,us_market,58.46,57.82 - 59.46,51.688766,4743128576,0.06546713,1.8461536,-0.2887213,936,20.54 - 82.19,
20,SPSC.L,,gb_market,180.0,170.0 - 170.0,20.0,76874760,0.0003888889,155.52174,0.0,20,1.15 - 180.0,
21,AGT.F,,dr_market,114.0,114.0 - 117.75,35.51402,7126767104,0.01217759,0.48437494,-0.056291416,611,76.8 - 120.8,
